Run ID,Display Name,Persona ID,Turn Number,Question,User Message,Assistant Response,Predicted Outcome,Session Eligibility Outcome,Checkpoint Correct
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F061,9,Question 8,Is there income limit,"Angel Flight West doesn't have a strict income limit, but we do consider financial hardship or barriers to travel. If you face challenges affording travel, that could make you eligible. Let me know if you have more questions!",Manual Review,,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F030,1,Opening,I need help from fort collins colorado to denver colorado for radiation tomorrow around tomorrow,"I’m sorry—Angel Flight West is not able to arrange a volunteer-pilot flight with less than five business days’ notice, and your trip is needed tomorrow. Because of that timing, this trip isn’t eligible for our services.

I know getting to treatment is critical. You might check with:

• Your medical team or social worker – they often know of local transportation help.  
• The Air Care Alliance (aircarealliance.org) – they list other charitable flight groups that may have different timing requirements.  
• Local non-profits or county services that offer ground transportation for medical appointments.

I wish you the very best with your radiation treatment tomorrow. If a future trip has more advance notice, please reach out and we’d be happy to screen it.",Ineligible,Ineligible,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F030,2,Question 1,Radiation treatment,"Because your radiation appointment is tomorrow, we still fall inside the minimum-notice window (five business days for volunteer flights or two business days for airline tickets). Unfortunately, that means Angel Flight West can’t help with this particular trip.

If you have future appointments with more advance notice, please let us know—radiation therapy is very much a supported medical reason once the timing requirement is met.

For tomorrow’s visit, you might try:
• Your hospital’s social worker or patient-navigator team for local transport resources.  
• County or city paratransit or medical-shuttle services.  
• The Air Care Alliance (aircarealliance.org) for a list of other flight charities that may work on shorter notice.  

I’m sorry we can’t assist this time and wish you the best with your treatment.",Ineligible,Ineligible,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F030,3,Question 2,Not dv,"Thank you for clarifying.  
Because the appointment is tomorrow, we’re still inside the minimum-notice window (five business days for volunteer flights and two business days for airline tickets). That timing requirement is the only reason Angel Flight West can’t help with this specific trip.

If you have future radiation appointments and can give at least five business days’ notice, please reach out—we’d be glad to screen a new request.

For tomorrow, you might contact:  
• Your clinic’s social worker or patient-navigator for local transport options.  
• Regional paratransit or medical-shuttle services.  
• The Air Care Alliance (aircarealliance.org) for other charitable flight groups that may work on shorter notice.

I’m sorry we can’t assist this time and wish you the very best with your treatment.",Ineligible,Ineligible,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F030,4,Question 3,Fort collins to denver,"I’m sorry—because the trip is for tomorrow, it doesn’t meet our minimum-notice requirement (volunteer-pilot flights need at least five business days). With only one day’s notice, Angel Flight West can’t assist with this particular Fort Collins–Denver trip.

If you have future radiation appointments and can give five business days’ notice, please let us know; that type of travel is normally supported.

For tomorrow, you might try:
• Your hospital or clinic social-work team for local transport help.  
• Regional paratransit or other medical-shuttle services.  
• The Air Care Alliance (aircarealliance.org) for other charitable flight groups that may work on shorter notice.

I wish you the very best with your treatment.",Ineligible,Ineligible,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F030,5,Question 4,Tomorrow,"I understand the trip is still for tomorrow. Because we need at least five business-day notice for volunteer flights (and two business days for airline tickets), Angel Flight West cannot arrange this Fort Collins–Denver flight on such short notice.

If you have future radiation appointments with more advance notice, please reach out and we’ll be glad to review them. For tomorrow’s travel, consider:

• Asking your clinic’s social worker or patient-navigator about local transportation programs  
• Checking regional paratransit or medical-shuttle services  
• Visiting aircarealliance.org for other charitable flight groups that may work on shorter notice

I’m sorry we can’t assist this time. Let me know if you have any other questions about our program.",Ineligible,Ineligible,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F030,6,Question 5,Walks fine,"Thanks for letting me know, but the timing requirement is still the deciding factor. Because the trip is tomorrow—inside our minimum-notice window—Angel Flight West can’t provide a flight for this appointment. If you schedule future treatments with at least five business days’ notice, please reach out and we’ll be glad to review a new request. I wish you the best with your radiation treatment tomorrow.",Ineligible,Ineligible,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F030,7,Question 6,Stable,"I understand, and it’s helpful to know you’re medically stable and mobile. Unfortunately, the timing remains the overriding issue: with the trip scheduled for tomorrow, we can’t meet the minimum-notice requirement (five business days for volunteer flights, two business days for airline tickets). Because of that, Angel Flight West is unable to help with this specific Fort Collins–Denver trip.

If you’re able to give at least five business days’ notice for future radiation appointments, please reach out—we’d be happy to screen a new request.

For tomorrow’s travel, you might consider:

• Asking your clinic’s social worker or patient-navigator about local transportation programs  
• Contacting regional paratransit or medical-shuttle services  
• Visiting the Air Care Alliance (aircarealliance.org) for other charitable flight groups that may work on shorter notice

I’m sorry we can’t assist this time and wish you all the best with your treatment.",Ineligible,Ineligible,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F030,8,Question 7,Alone,"I’m sorry, but because your Fort Collins-to-Denver trip is tomorrow, it doesn’t meet Angel Flight West’s minimum-notice requirement (five business days for volunteer flights and two business days for airline tickets). That timing issue is the only reason we can’t help with this specific radiation-treatment trip.

For tomorrow, you might try:
• Your clinic’s social worker or patient-navigator for local medical-transport programs  
• Regional paratransit or county medical-shuttle services  
• The Air Care Alliance (aircarealliance.org) for other flight charities that sometimes work on shorter notice

If any future appointments can be scheduled at least five business days in advance, please reach out and we’ll gladly review a new request. I wish you the very best with your treatment.",Ineligible,Ineligible,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F030,9,Question 8,Ssdi only,"I’m sorry, but because your trip is scheduled for tomorrow, it falls inside our minimum-notice window (we need at least five business days for volunteer-pilot flights or two business days for airline tickets). For that reason, Angel Flight West is unable to help with this specific Fort Collins–Denver radiation-treatment trip.

If future appointments can be planned with enough notice, please reach out—medical travel like yours normally does qualify once the timing requirement is met.

For tomorrow’s visit, you might try:
• Your clinic’s social worker or patient-navigator for local medical-transport programs  
• Regional paratransit or county medical-shuttle services  
• The Air Care Alliance (aircarealliance.org) for a list of other charitable flight groups that may work on shorter notice  

I wish you the very best with your treatment.",Ineligible,Ineligible,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F031,1,Opening,I need to get from fresno ca to los angeles ca for cancer treatment at ucla im on disability cant afford,"I’m glad we may be able to help.  
First, when would you need to travel from Fresno to Los Angeles for your treatment?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F031,2,Question 1,I need to get to los angeles for cancer treatment at ucla,"Got it. To be sure we can arrange the right kind of flight, could you tell me whether your first appointment at UCLA is at least five business days from today?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F031,3,Question 2,N/a not a domestic violence case,"Thanks for clarifying.  
Is your first appointment at UCLA at least five business days from today? If you know the actual date, please let me know.",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F031,4,Question 3,From fresno ca to los angeles ca,"Thanks. To make sure we can help, is your first flight at least five business days from today? If you know the date, please share it.",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F031,5,Question 4,Appointment in 10 days,"Thanks for that timing detail.  

To confirm we can use a small volunteer-pilot aircraft for this trip:  
Are you able to step up into the plane on your own, move into the seat without being lifted, and sit upright with a seatbelt for the flight?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F031,6,Question 5,I can walk and get around on my own,"Thanks for letting me know.

Just to be sure: Will you need any kind of medical monitoring, oxygen, or help from a nurse or medical professional during the flight?",Eligible,Eligible,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F031,7,Question 6,I dont need medical monitoring on the flight,"Great, thank you.  

One last thing I need to confirm: Will anyone be traveling with you on this flight? If so, how many people (including any children)?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F031,8,Question 7,Solo,"Your trip from Fresno, CA to Los Angeles, CA for cancer treatment appears eligible for a free Angel Flight West flight.

What this means:
• Travel would likely be on a small aircraft flown by a volunteer pilot.  
• These flights use smaller, quieter airports; seating and luggage space are limited.  
• Flights depend on pilot availability and weather, so they can’t be guaranteed, but we do our best to find a match.  
• The pilot will explain what to expect and answer any questions before the flight.

Next step:
Please complete our brief flight request form so a coordinator can begin working on your trip. A member of our team will follow up within 1-2 business days.

Complete Flight Application

If any questions come up while you’re filling out the form, let me know—I’m happy to help.",Eligible,Eligible,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F031,9,Question 8,Disability cant afford,"Angel Flight West flights are completely free for our passengers—there are no tickets to buy and no hidden fees.  
Volunteer pilots donate their time, aircraft, and fuel, so your disability income and limited budget won’t be a problem.

If you’re ready, the best next step is to complete the Flight Application. Once we receive it, a coordinator will reach out within 1-2 business days to start arranging your trip.

Let me know if you have any other questions—I’m here to help.",Eligible,Eligible,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F078,1,Opening,Just browsing,"Welcome! If you ever need to find out whether a trip might qualify for a free Angel Flight West flight, I can walk you through a quick eligibility check. Feel free to ask questions about the program or let me know when you’re ready to start.",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F078,2,Question 1,still figuring travel reason,"No problem. To see if Angel Flight West could help, what would be the main reason for the trip—such as traveling for medical care, supporting someone who’s receiving care, relocating for safety, or something else?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F078,3,Question 2,not sure if dv applies,"I understand. Could you tell me a bit more about why you need to travel—for example, is it to reach medical care, to help someone who’s getting care, or to leave an unsafe domestic situation?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F078,4,Question 3,origin and destination unclear,"To see if Angel Flight West could be a good fit, I’ll need to understand the purpose of the trip first. Could you share a few words about why you might need to travel—for medical treatment, to support someone receiving care, to leave an unsafe domestic situation, or another reason?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F078,5,Question 4,no appointment date yet,"To see whether Angel Flight West might be an option, I’ll need to know the places involved.  

Which city and state would you be starting from, and which city and state would you need to reach?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F078,6,Question 5,mobility depends that day,"To figure out whether Angel Flight West can help, we still need the basic details—why you’re traveling and the cities you’ll be going between. Since that isn’t clear yet, I’d like to have one of our coordinators follow up with you directly.

Could you please share:
1. Your name  
2. The best email address  
3. A phone number  

A coordinator will reach out within one-to-two business days to talk through your situation and see if a free flight might be possible.",Manual Review,Manual Review,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F078,7,Question 6,not sure about inflight care,"No worries. Since some details aren’t clear yet, let's have a coordinator assist you directly. 

Could you please share:
1. Your name  
2. The best email address  
3. A phone number  

A coordinator will reach out within one-to-two business days to discuss your needs and see if a free flight might be possible.",Manual Review,,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F078,8,Question 7,companions not decided,"That's okay. Since some details are still uncertain, let's have a coordinator get in touch to help clarify.

Could you please provide:
1. Your name  
2. The best email address  
3. A phone number  

A coordinator will reach out within one-to-two business days to discuss your situation and explore if a free flight might be an option.",Manual Review,,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F078,9,Question 8,prefer not say income yet,"I understand. Since there are a few details that need further clarity, let's have a coordinator assist you directly.

Could you please provide:
1. Your name  
2. The best email address  
3. A phone number  

A coordinator will reach out within one-to-two business days to discuss your needs and see if a free flight might be possible.",Manual Review,,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F032,1,Opening,I need to get from reno nv to san francisco ca for pre transplant at ucsf im on medicaid gaps,"I’m glad we may be able to help.  
What date do you need to be in San Francisco for your appointment?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F032,2,Question 1,I need to get to san francisco for pre transplant at ucsf,"Thanks for that information.  
What date is your UCSF appointment?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F032,3,Question 2,N/a not a domestic violence case,"Sure thing. To be sure we can meet the timing, on what date would you need to leave Reno for your UCSF pre-transplant visit?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F032,4,Question 3,From reno nv to san francisco ca,"Thanks. A few quick questions so I can be sure this trip fits our volunteer-pilot program:

1. How many days from today is your UCSF appointment? (If you don’t have the exact date yet, please estimate.)",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F032,5,Question 4,Appointment in 8 days,"Great—thank you.

To be sure a small volunteer-piloted aircraft will work for you, could you tell me:

Are you able to climb a couple of steps into a small airplane, move into the seat on your own, and sit upright with a seatbelt during the flight?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F032,6,Question 5,I can walk and get around on my own,"Thanks. Just a couple more quick checks:

1. During the flight, would you need any medical monitoring, special equipment, or a nurse/medical professional on board?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F032,7,Question 6,I dont need medical monitoring on the flight,"Thank you.

1. Will anyone be traveling with you on this flight? If yes, how many people (including you) would need a seat?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F032,8,Question 7,Solo,"Good news—your trip appears eligible for a free flight with an Angel Flight West volunteer pilot.

What to expect with a volunteer-pilot flight:
• You’d likely fly in a small, privately owned airplane from a general-aviation airport near Reno to one near San Francisco.  
• Seats and luggage space are limited, so plan on one small soft-sided bag.  
• Pilots donate their time and aircraft; flights depend on pilot availability and weather, so flexibility is helpful.  
• A coordinator will match you with a pilot and explain every step before the flight.

Next step  
Please complete our Flight Request form so we have the details we need. After you submit it, a coordinator will reach out within 1–2 business days to begin arranging the flight.

Complete Flight Application → https://afids.angelflightwest.org/missionRequest/onlineRequest1

Remember, flights are donated and cannot be guaranteed, but we’ll do our very best to help you reach UCSF. If any questions come up while you’re filling out the form, just let me know.",Eligible,Eligible,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F032,9,Question 8,Medicaid gaps,"Angel Flight West flights are completely free to you—there’s no cost and we don’t bill Medicaid or any other insurance. The pilots donate their time and aircraft, and any airline tickets we provide are donated as well.  

If you haven’t already, the best next step is to submit the Flight Request form so our coordination team can get started. Once it’s in, a coordinator will contact you within 1–2 business days to guide you through the process and match you with a volunteer pilot.  

If you have any other questions about costs or the application, just let me know—I’m here to help.",Eligible,Eligible,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F033,1,Opening,I need to get from eugene or to portland or for weekly infusion at ohsu im on fixed income,"Thanks for reaching out. I understand you need to travel from Eugene, OR to Portland, OR every week for an infusion at OHSU. That type of medical travel is something Angel Flight West often helps with.

To be sure a volunteer pilot flight can work, I’d like to confirm one detail:

Is your next infusion appointment at least five business days (one full week) from today?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F033,2,Question 1,I need to get to portland for weekly infusion at ohsu,"To make sure we have enough time to arrange a volunteer-pilot flight, could you please tell me the date of your next infusion appointment at OHSU?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F033,3,Question 2,N/a not a domestic violence case,"Thanks for clarifying. To see if a volunteer-pilot flight can be arranged, I still need to confirm one detail:

Is your next infusion appointment at OHSU at least five business days (one full week) from today?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F033,4,Question 3,From eugene or to portland or,"Thanks for the details so far. To be sure a volunteer-pilot flight could work, could you please let me know:

Are you able to step up into a small airplane and sit upright with a seatbelt during the flight on your own, without anyone lifting or carrying you?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F033,5,Question 4,Appointment in 9 days,"Thanks for the update—nine days is enough time to set up a volunteer-pilot flight.

To be sure a small airplane will work for you, could you let me know:

Are you able to step up into a small plane on your own and sit upright with a seatbelt for the flight, without anyone lifting or carrying you?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F033,6,Question 5,I can walk and get around on my own,"Thanks. One more quick check:

During the flight, would you need any medical monitoring or care from a nurse or other medical professional?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F033,7,Question 6,I dont need medical monitoring on the flight,"Got it—thanks for confirming.  

Just one last detail so we can finish checking eligibility:  

Will anyone (people or pets) be traveling with you besides yourself on this trip?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F033,8,Question 7,Solo,"Your trip appears eligible for a free Angel Flight West volunteer-pilot flight.

What this means for you:
• Flights are usually in 4-seat or 6-seat private airplanes flown by volunteer pilots.
• Pilots donate their time and cover the flight costs; flights depend on pilot availability and weather.
• Smaller airports are often used, baggage space is limited, and the pilot will explain what to expect before the trip.

Next step:
Please complete the flight request form online. After you submit it, one of our coordinators will review the details and reach out within 1–2 business days to start arranging your flight.

Use the “Complete Flight Application” link on the Angel Flight West website, or let me know if you’d like me to text or email that link to you.",Eligible,Eligible,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F033,9,Question 8,Fixed income,"Angel Flight West flights are completely free to you.  
Our volunteer pilots donate their time, airplanes, and fuel, so there is no charge and no insurance billing. Your only possible out-of-pocket costs would be things like getting to and from the airports on the ground.

If you have any other questions about how it works—or if you’d like help finding the online flight request form—just let me know.",Eligible,Eligible,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F076,1,Opening,On hold with insurance,"I’m sorry you’re having to wait. To help see if we can assist, could you please share the main reason you need to travel?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F076,2,Question 1,Was on hold 2 hours,"I understand that wait times can be frustrating. To see if Angel Flight West might be able to help, could you tell me why you need to make this trip?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F076,3,Question 2,What dv,I’m here to help. Could you please tell me the main purpose of the trip you’re looking to make?,Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F076,4,Question 3,Near hospital,Thanks for letting me know. Just to be sure—are you needing to travel so you (or someone you’re helping) can receive medical care at the hospital?,Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F076,5,Question 4,Next month,"Got it—just to clarify, is the trip next month so you (or someone you’re helping) can get to medical treatment, or is it for a different reason?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F076,6,Question 5,Depends day,"To find the right next step, I need to know one key detail:

Are you or someone you’re helping trying to travel so they can receive medical care (such as an appointment, treatment, or surgery)?

Please let me know yes or no.",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F076,7,Question 6,not sure about inflight care,"To make sure Angel Flight West is the right fit, could you please confirm: Is the trip primarily so you—or someone you’re helping—can travel to receive medical care (for example, an appointment, treatment, or surgery)?",Insufficient Information,Insufficient Information,
benchmark_openai_v1,OpenAI v1 | System Prompt v1 | 120 personas,F076,8,Question 7,Kids maybe,"Thanks. To see if this trip could fit our program, could you tell me the city and state you’d be starting from, and the city and state you need to reach?",Insufficient Information,Insufficient Information,
